episode,avg_reward,total_throughput,latency_violation_rate,cpu_peak,loss,epsilon
0,-1.3718803265410402,4129476,0.4911985305372723,0.9065599999999996,0,0.99875
1,-1.4411367314272145,4404280,0.5346142563801701,0.9831999999999996,0,0.9975
2,-1.4132063775974206,4375900,0.5054798578199052,0.9441199999999996,0,0.99625
3,-1.4497757933184388,4316016,0.5409257898603967,0.9340399999999996,0,0.995
4,-1.4057758477139528,4315132,0.5124076809453472,0.9932799999999996,0,0.99375
