episode,avg_reward,total_throughput,latency_violation_rate,cpu_peak,loss,epsilon
0,-9.17954494165858,1899372,4.518962597346145,0.12130799999999994,0,0.99875
1,-8.895277988914069,1910484,5.710761318773065,0.07362399999999998,0,0.9975
2,-9.48801990621345,1887908,5.216475936096698,0.10323599999999997,0,0.99625
3,-8.121291603055413,1950624,4.22335246135182,0.07644799999999997,0,0.995
4,-8.99080719893004,1889256,6.106417828758088,0.10102799999999997,0,0.99375
