episode,slot,avg_reward,sys_throughput,avg_cpu_util
0,0,-0.584804,14384,0.0069052
0,1,-5.4028160309411675,12844,0.006166
0,2,-0.5585227974311231,16424,0.0078848
0,3,-0.8876196768115122,20924,0.0100448
0,4,-0.7364676221433688,16900,0.008113200000000001
0,5,-0.9096568903063285,15376,0.0073816
0,6,-7.210825268570382,15020,0.007210800000000001
0,7,-12.093033624180071,13972,0.006707600000000001
0,8,-2.007429557120628,19488,0.0093556
0,9,-10.987190695586971,14932,0.007168400000000001
0,10,-11.30920742766626,40596,0.019489199999999995
0,11,-4.7875187541230835,26632,0.012785200000000002
0,12,-23.947321517521914,7200,0.0034564000000000005
0,13,-1.1424411874744274,13328,0.0063984
0,14,-4.708848325242444,27324,0.013117600000000002
0,15,-1.7595658506085325,17392,0.0083492
0,16,-20.46425817811759,21084,0.010122
0,17,-1.239520050815583,22664,0.010880399999999998
0,18,-1.1853849867527555,17480,0.0083916
0,19,-4.153020720694237,19840,0.009525200000000001
0,20,-2.430606668958139,14668,0.0070412
0,21,-6.0948575915928105,13432,0.0064484
0,22,-9.113129853568065,20616,0.009897200000000002
0,23,-1.6217400159501552,12472,0.0059876
0,24,-11.561309446843666,26656,0.012796799999999997
0,25,-36.042780654724346,10336,0.004961999999999999
0,26,-1.5859898807512853,23036,0.0110588
0,27,-11.756288606732117,8852,0.004249600000000001
0,28,-5.535606065445355,29688,0.014252400000000002
0,29,-46.029659411411345,23464,0.011264
0,30,-2.6591509776253135,25116,0.012057599999999998
0,31,-35.49731888052024,13392,0.0064292
0,32,-11.366694277399903,24488,0.0117556
0,33,-1.2207959762999308,32784,0.015738799999999997
0,34,-4.140912646149678,33404,0.0160364
0,35,-7.730950928430945,12988,0.006235200000000001
0,36,-1.9170641919902534,19076,0.009158000000000001
0,37,-1.3902310702398952,15940,0.007652399999999999
0,38,-1.2895239722239433,25656,0.0123168
0,39,-18.508923076945553,12860,0.0061736
0,40,-1.694359395615135,26156,0.012556800000000002
0,41,-14.099422451895293,12868,0.0061776
0,42,-2.6413144204007106,16780,0.008055200000000002
0,43,-0.9106598730276119,18116,0.0086972
0,44,-4.024162593546696,17456,0.008380000000000002
0,45,-1.3528446765389126,15876,0.007621600000000001
0,46,-11.31766604676528,13932,0.0066884
0,47,-41.747505427668514,35652,0.017116
0,48,-6.404260782374479,9248,0.0044396
0,49,-1.2842013959196035,26116,0.012537600000000001
0,50,-17.691206323385114,15916,0.0076408000000000005
0,51,-10.98198333422076,14892,0.0071492
0,52,-10.614898789437925,13844,0.006646000000000001
0,53,-21.217159185798987,20404,0.009796
0,54,-16.27441902535191,24172,0.011604399999999997
0,55,-15.651876164536066,21140,0.0101488
0,56,-1.0932372851916958,5724,0.0027479999999999996
0,57,-8.95428114538822,24576,0.011798
0,58,-0.9464014578208918,31300,0.015026399999999999
0,59,-0.6899401266143558,21456,0.010300400000000001
0,60,-2.2235146988663277,17280,0.008295199999999999
0,61,-29.022909825336985,20792,0.009982
0,62,-6.055165806451439,18156,0.008716400000000001
0,63,-30.700423646382944,8208,0.0039404
0,64,-3.797237273008386,34412,0.016520400000000005
0,65,-5.3569976300858055,12272,0.005891200000000001
0,66,-1.2175349048889865,35316,0.016954399999999998
0,67,-12.444249157620536,13980,0.006711600000000001
0,68,-23.801627120432606,17456,0.008380000000000002
0,69,-16.596738403405645,6836,0.003282
0,70,-1.1720165692391602,25156,0.0120768
0,71,-5.491596606536692,13908,0.006676800000000001
0,72,-86.41209929269536,18784,0.009018000000000002
0,73,-1.1024492262284187,23472,0.011268
0,74,-1.4288583957228338,19876,0.0095416
0,75,-14.44644887612039,19576,0.009398
0,76,-0.8014891491137041,16020,0.0076908
0,77,-0.9406004241554925,14740,0.007075999999999999
0,78,-0.8903834041801044,11296,0.0054228
0,79,-0.7940659839832037,32260,0.015487199999999998
0,80,-1.0600360897947287,13844,0.006646000000000001
0,81,-16.002458333079495,24156,0.0115968
0,82,-23.0894584926153,22172,0.010644400000000002
0,83,-0.9945150165436598,17852,0.008570000000000003
0,84,-1.1795669115162482,20012,0.0096072
0,85,-2.5385639786617,30364,0.014577200000000002
0,86,-0.7186858436491947,11304,0.005426800000000001
0,87,-5.145017979177857,18592,0.008925600000000002
0,88,-10.42585604969413,17528,0.0084148
0,89,-0.7926942930245828,8644,0.0041496
0,90,-7.051647618393119,15280,0.0073352
0,91,-4.1193201304311975,20140,0.009668800000000002
0,92,-1.5679195414975076,11732,0.005632
0,93,-31.048323580949404,14892,0.0071492
0,94,-1.5319065493885782,10884,0.005225200000000001
0,95,-1.5626185227770615,8668,0.004161200000000001
0,96,-11.439701580086673,19988,0.0095956
0,97,-21.660602306763607,30340,0.014565600000000001
0,98,-6.107244028248671,20948,0.010056400000000002
0,99,-2.0611636677016003,23884,0.011465600000000001
1,0,-0.5842655999999999,13852,0.0066500000000000005
1,1,-10.69808603457321,6288,0.0030188
1,2,-1.6653460383843026,21012,0.010087200000000001
1,3,-15.320175748965323,28832,0.0138416
1,4,-0.9381397144612874,11408,0.0054768
1,5,-1.2855084844002798,18908,0.009077200000000002
1,6,-0.8780653716568665,17964,0.008624000000000001
1,7,-8.00954292737973,15336,0.0073620000000000005
1,8,-0.5979395743423145,6596,0.0031663999999999998
1,9,-1.5632428806920549,20860,0.010014
1,10,-31.71697461778563,7160,0.0034372
1,11,-1.2602489347077417,19948,0.009576400000000002
1,12,-11.042046733299014,24616,0.011817600000000001
1,13,-18.03068344882834,17568,0.008434
1,14,-9.58314486922185,25728,0.012351200000000001
1,15,-11.148077987609119,19012,0.009127199999999999
1,16,-6.061463036528556,26116,0.012537600000000001
1,17,-7.741522415836256,16352,0.007850000000000001
1,18,-14.961557550302913,7964,0.0038236000000000008
1,19,-1.1430370043788463,21472,0.010308000000000001
1,20,-0.7910965510137993,12496,0.005999200000000001
1,21,-20.75307104401158,31324,0.015038
1,22,-6.056159191257815,12432,0.0059684000000000004
1,23,-2.257051639047355,17408,0.0083568
1,24,-1.0716239623026405,21400,0.0102732
1,25,-4.169705710062091,25648,0.0123128
1,26,-15.552611384005905,17672,0.008484000000000002
1,27,-15.702579460344575,13408,0.006436800000000001
1,28,-12.32401954240596,21560,0.0103504
1,29,-1.5814525268526891,23060,0.011070400000000001
1,30,-5.647275084055485,26156,0.012556799999999998
1,31,-6.1081471099207745,23124,0.0111012
1,32,-3.6094940600304093,22520,0.0108112
1,33,-26.11978329521989,5152,0.0024731999999999996
1,34,-34.013114358981646,18164,0.0087204
1,35,-2.0854828402371455,18100,0.0086896
